Name,Position,Appearances,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Headed Clearance,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Errors leading to goal,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals Conceded,Own goals,Last man tackles,Clearances off line
Kamal Sowah,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Çaglar Söyüncü,Defender,7,1,,0,1,0,,,,,,0,,0,306,43.71,0,0,0%,0,18,2,0,7,0,14,64%,1,7,29,19,42,43,26,1,24,16,0,,,,,,,,,0,13,0,0,0
Djed Spence,Defender,4,0,,0,0,0,,,,,,0,,0,9,2.25,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,1,1,2,0,1,0,0,,,,,,,,,0,0,0,0,0
Jack Spong,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jack Stacey,Defender,10,0,,0,0,0,,,,,,0,,0,96,9.60,0,10,10%,0,2,2,0,4,1,5,80%,0,5,12,9,15,13,19,3,5,3,0,,,,,,,,,0,10,0,0,0
Junior Stanislas,Midfielder,4,0,0.00,0,0,0,0,0,1,0,0%,0,0,0,27,6.75,0,1,0%,0,0,0,0,0,0,0,0%,0,0,0,0,1,0,2,0,0,1,0,,,,,,,,,,,,,
Jay Stansfield,Forward,3,0,0.00,0,0,0,0,0,2,0,0%,1,0,0,20,6.67,0,3,,,,0,0,1,0,0,,2,1,1,0,,,,,,,,,,,,,,,,,,,,
Jason Steele,Goalkeeper,15,0,,,,,,,,,,,,1,490,32.67,,,,,59,1,0,1,,,,,,,,,,,,,,0,37,1,3,10,0,6,48,55,6,23,1,,
Jed Steer,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Zack Steffen,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
