Name,Position,Appearances,Clean sheets,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Shots,Shots on target,Shooting accuracy %,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Age,Season,Injury,Date of Injury,Date of return
Jesse Lingard,Midfielder,22,0.0,15.0,53%,0.0,10.0,3.0,0.0,0.0,0.0,37.0,41.0,72.0,13.0,2.0,12.0,0,391,17.77,1.0,7.0,0%,4.0,4.0,3,0,28,1,0.0,0.0,1.0,0.0,0.05,0.0,22.0,6.0,27%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2019/20,Ill,9-Jan-20,14-Jan-20
Hugo Lloris,Goalkeeper,21,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,474,22.57,0.0,0.0,0,0.0,122.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,81.0,1.0,10.0,12.0,2.0,1.0,97.0,150.0,32.0,2019/20,Elbow injury,"Oct 6,2019","Jan 18,2020"
Hugo Lloris,Goalkeeper,21,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,474,22.57,0.0,0.0,0,0.0,122.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,81.0,1.0,10.0,12.0,2.0,1.0,97.0,150.0,33.0,2019/20,Groin Strain,"Feb 6,2020","Mar 6,2020"
Giovani Lo Celso,Midfielder,28,0.0,51.0,57%,0.0,6.0,9.0,17.0,8.0,0.0,123.0,136.0,145.0,32.0,8.0,22.0,2,965,34.46,1.0,57.0,21%,8.0,42.0,6,0,28,0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,17%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2019/20,Hip injury,"Sep 7,2019","Oct 20,2019"
Matthew Lowton,Defender,17,6.0,41.0,54%,0.0,0.0,27.0,52.0,30.0,0.0,72.0,82.0,47.0,9.0,22.0,14.0,1,551,32.41,2.0,45.0,20%,2.0,41.0,2,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2019/20,knee injury,3-Feb-20,10-Jun-20
Matthew Lowton,Defender,17,6.0,41.0,54%,0.0,0.0,27.0,52.0,30.0,0.0,72.0,82.0,47.0,9.0,22.0,14.0,1,551,32.41,2.0,45.0,20%,2.0,41.0,2,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2019/20,ankle and knee injury,28-Jun-20,25-Oct-20
Javier Manquillo,Defender,21,6.0,39.0,67%,0.0,1.0,18.0,48.0,20.0,0.0,83.0,79.0,61.0,13.0,16.0,16.0,1,475,22.62,0.0,45.0,11%,0.0,17.0,5,0,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2019/20,Hamstring strain,2-Jan-20,28-Feb-20
Anthony Martial,Forward,32,0.0,15.0,0,0.0,21.0,5.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,712,22.25,8.0,11.0,0,0.0,0.0,1,0,28,17,2.0,12.0,3.0,2.0,0.53,0.0,80.0,40.0,50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2019/20,Hamstring strain,25-Aug-19,20-Oct-19
Nemanja Matic,Midfielder,21,0.0,46.0,52%,0.0,2.0,22.0,26.0,16.0,0.0,146.0,110.0,93.0,20.0,29.0,23.0,2,"1,265",60.24,0.0,3.0,67%,2.0,46.0,3,0,27,0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,29%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2019/20,unknown injury,20-Oct-19,11-Dec-19
Ben Mee,Defender,32,13.0,41.0,54%,0.0,4.0,42.0,160.0,80.0,0.0,176.0,195.0,125.0,6.0,131.0,90.0,1,"1,257",39.28,3.0,3.0,33%,0.0,102.0,7,0,25,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2019/20,hamstring strain,3-Jul-20,5-Nov-20
Yerry Mina,Defender,29,4.0,39.0,56%,0.0,6.0,28.0,98.0,58.0,0.0,131.0,170.0,97.0,6.0,114.0,70.0,1,"1,361",46.93,2.0,4.0,0%,1.0,108.0,3,0,20,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2019/20,knee injury,20-Oct-19,2-Nov-19
Yerry Mina,Defender,29,4.0,39.0,56%,0.0,6.0,28.0,98.0,58.0,0.0,131.0,170.0,97.0,6.0,114.0,70.0,1,"1,361",46.93,2.0,4.0,0%,1.0,108.0,3,0,20,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2019/20,bruise,6-Dec-19,14-Dec-19
Yerry Mina,Defender,29,4.0,39.0,56%,0.0,6.0,28.0,98.0,58.0,0.0,131.0,170.0,97.0,6.0,114.0,70.0,1,"1,361",46.93,2.0,4.0,0%,1.0,108.0,3,0,20,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2019/20,muscle injury,2-Jun-20,30-Jun-20
Yerry Mina,Defender,29,4.0,39.0,56%,0.0,6.0,28.0,98.0,58.0,0.0,131.0,170.0,97.0,6.0,114.0,70.0,1,"1,361",46.93,2.0,4.0,0%,1.0,108.0,3,0,20,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2019/20,muscle injury,13-Jul-20,12-Sep-20
Tyrone Mings,Defender,33,6.0,15.0,73%,0.0,0.0,30.0,189.0,83.0,3.0,201.0,105.0,70.0,12.0,67.0,46.0,2,"1,384",41.94,1.0,7.0,14%,0.0,117.0,7,0,20,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2019/20,Muscle strain,9-Dec-19,31-Dec-19
Shkodran Mustafi,Defender,15,4.0,17.0,59%,0.0,2.0,18.0,70.0,44.0,0.0,42.0,88.0,42.0,3.0,65.0,21.0,1,844,56.27,1.0,2.0,50%,0.0,48.0,2,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2019/20,Muscle strain,29-Feb-20,15-Mar-20
Tanguy Ndombele,Midfielder,21,0.0,24.0,67%,0.0,3.0,14.0,6.0,1.0,0.0,79.0,97.0,70.0,38.0,7.0,9.0,2,632,30.1,1.0,12.0,17%,4.0,19.0,3,0,14,2,0.0,1.0,1.0,0.0,0.1,0.0,9.0,4.0,44%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2019/20,Hamstring injury,"Aug 18,2019","Sep 12,2019"
Tanguy Ndombele,Midfielder,21,0.0,24.0,67%,0.0,3.0,14.0,6.0,1.0,0.0,79.0,97.0,70.0,38.0,7.0,9.0,2,632,30.1,1.0,12.0,17%,4.0,19.0,3,0,14,2,0.0,1.0,1.0,0.0,0.1,0.0,9.0,4.0,44%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2019/20,Groin Strain,"Nov 19,2019","Nov 26,2019"
Tanguy Ndombele,Midfielder,21,0.0,24.0,67%,0.0,3.0,14.0,6.0,1.0,0.0,79.0,97.0,70.0,38.0,7.0,9.0,2,632,30.1,1.0,12.0,17%,4.0,19.0,3,0,14,2,0.0,1.0,1.0,0.0,0.1,0.0,9.0,4.0,44%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2019/20,Groin Strain,"Dec 6,2019","Dec 21,2019"
Tanguy Ndombele,Midfielder,21,0.0,24.0,67%,0.0,3.0,14.0,6.0,1.0,0.0,79.0,97.0,70.0,38.0,7.0,9.0,2,632,30.1,1.0,12.0,17%,4.0,19.0,3,0,14,2,0.0,1.0,1.0,0.0,0.1,0.0,9.0,4.0,44%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2019/20,Groin Strain,"Jan 1,2020","Jan 21,2019"
Tanguy Ndombele,Midfielder,21,0.0,24.0,67%,0.0,3.0,14.0,6.0,1.0,0.0,79.0,97.0,70.0,38.0,7.0,9.0,2,632,30.1,1.0,12.0,17%,4.0,19.0,3,0,14,2,0.0,1.0,1.0,0.0,0.1,0.0,9.0,4.0,44%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2019/20,Knock,"Jul 13,2020","Jul 31,2020"
Reiss Nelson,Forward,17,0.0,11.0,0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,207,12.18,0.0,24.0,0,0.0,0.0,1,0,8,1,0.0,1.0,0.0,0.0,0.06,0.0,11.0,4.0,36%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2019/20,Hamstring injury,9-Jan-20,24-Feb-20
Mesut Özil,Midfielder,18,0.0,17.0,47%,0.0,4.0,5.0,1.0,0.0,0.0,71.0,52.0,65.0,16.0,1.0,4.0,2,836,46.44,1.0,72.0,28%,2.0,21.0,1,0,14,1,0.0,0.0,1.0,0.0,0.06,0.0,9.0,3.0,33%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2019/20,Ankle injury,16-Dec-19,26-Dec-19
Nicolas Pépé,Forward,31,0.0,32.0,0,0.0,13.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,706,22.77,8.0,109.0,0,0.0,0.0,4,0,14,5,0.0,0.0,5.0,3.0,0.16,1.0,50.0,18.0,36%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2019/20,Muscle fatigue,2-Jul-20,6-Jul-20
Paul Pogba,Midfielder,16,0.0,20.0,45%,0.0,5.0,7.0,10.0,7.0,0.0,109.0,94.0,85.0,27.0,29.0,11.0,3,"1,034",64.63,3.0,6.0,17%,10.0,94.0,1,0,26,1,0.0,1.0,0.0,0.0,0.06,0.0,22.0,8.0,36%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2019/20,Ankle problems,30-Sep-19,23-Dec-19
Paul Pogba,Midfielder,16,0.0,20.0,45%,0.0,5.0,7.0,10.0,7.0,0.0,109.0,94.0,85.0,27.0,29.0,11.0,3,"1,034",64.63,3.0,6.0,17%,10.0,94.0,1,0,26,1,0.0,1.0,0.0,0.0,0.06,0.0,22.0,8.0,36%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2019/20,Ankle problems,26-Dec-19,8-Jun-20
Marcus Rashford,Forward,31,0.0,13.0,0,0.0,18.0,10.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,941,30.35,9.0,33.0,0,0.0,0.0,3,0,21,17,1.0,13.0,3.0,6.0,0.55,6.0,95.0,44.0,46%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2019/20,Back injury,16-Jan-20,5-Jun-20
Richarlison,Forward,36,0.0,70.0,0,0.0,24.0,12.0,40.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,788,21.89,13.0,56.0,0,0.0,0.0,8,0,43,13,4.0,3.0,5.0,3.0,0.36,0.0,90.0,32.0,36%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2019/20,knee injury,12-Jan-20,30-Jan-20
Matt Ritchie,Midfielder,18,0.0,22.0,68%,0.0,9.0,14.0,27.0,14.0,0.0,78.0,67.0,67.0,8.0,21.0,19.0,1,526,29.22,4.0,99.0,29%,0.0,23.0,4,0,26,2,0.0,0.0,2.0,1.0,0.11,0.0,26.0,8.0,31%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2019/20,Ankle injury,28-Aug-19,3-Jan-20
Allan Saint-Maximin,Forward,26,0.0,13.0,0,0.0,14.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,431,16.58,8.0,45.0,0,0.0,0.0,0,0,18,3,1.0,2.0,0.0,2.0,0.12,0.0,46.0,21.0,46%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2019/20,Hamstring strain,22-Sep-19,28-Sep-19
Fabian Schär,Defender,22,4.0,39.0,54%,0.0,5.0,47.0,72.0,30.0,1.0,112.0,113.0,95.0,16.0,34.0,34.0,0,761,34.59,0.0,12.0,8%,1.0,94.0,5,0,29,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2019/20,Knee injury,20-Oct-19,24-Nov-19
Fabian Schär,Defender,22,4.0,39.0,54%,0.0,5.0,47.0,72.0,30.0,1.0,112.0,113.0,95.0,16.0,34.0,34.0,0,761,34.59,0.0,12.0,8%,1.0,94.0,5,0,29,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2019/20,Hamstring strain,2-Jan-20,17-Jan-20
Fabian Schär,Defender,22,4.0,39.0,54%,0.0,5.0,47.0,72.0,30.0,1.0,112.0,113.0,95.0,16.0,34.0,34.0,0,761,34.59,0.0,12.0,8%,1.0,94.0,5,0,29,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2019/20,Shoulder injury,16-Jul-20,28-Sep-20
Morgan Schneiderlin,Midfielder,15,0.0,31.0,71%,0.0,1.0,21.0,19.0,9.0,0.0,55.0,52.0,48.0,3.0,17.0,11.0,0,561,37.4,0.0,8.0,13%,1.0,54.0,4,1,18,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2019/20,calf strain,8-Dec-19,4-Jan-20
Morgan Schneiderlin,Midfielder,15,0.0,31.0,71%,0.0,1.0,21.0,19.0,9.0,0.0,55.0,52.0,48.0,3.0,17.0,11.0,0,561,37.4,0.0,8.0,13%,1.0,54.0,4,1,18,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2019/20,knee injury,24-Feb-20,22-Aug-20
Sean Longstaff,Midfielder,23,0.0,35.0,54%,0.0,7.0,19.0,20.0,7.0,0.0,73.0,85.0,93.0,7.0,17.0,21.0,1,631,27.43,2.0,33.0,24%,1.0,34.0,2,1,17,1,0.0,0.0,1.0,0.0,0.04,0.0,25.0,7.0,28%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2019/20,Ankle injury,1-Sep-19,28-Sep-19
Sean Longstaff,Midfielder,23,0.0,35.0,54%,0.0,7.0,19.0,20.0,7.0,0.0,73.0,85.0,93.0,7.0,17.0,21.0,1,631,27.43,2.0,33.0,24%,1.0,34.0,2,1,17,1,0.0,0.0,1.0,0.0,0.04,0.0,25.0,7.0,28%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2019/20,Hamstring injury,1-Jul-20,25-Jul-20
Luke Shaw,Defender,24,7.0,34.0,53%,0.0,4.0,24.0,51.0,30.0,0.0,92.0,96.0,72.0,22.0,30.0,23.0,0,"1,143",47.63,1.0,38.0,24%,1.0,13.0,7,0,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2019/20,Hamstring injury,24-Aug-19,7-Oct-19
Luke Shaw,Defender,24,7.0,34.0,53%,0.0,4.0,24.0,51.0,30.0,0.0,92.0,96.0,72.0,22.0,30.0,23.0,0,"1,143",47.63,1.0,38.0,24%,1.0,13.0,7,0,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2019/20,Muscle injury,18-Oct-19,27-Nov-19
Jonjo Shelvey,Midfielder,26,0.0,29.0,66%,0.0,15.0,23.0,35.0,20.0,0.0,139.0,67.0,78.0,15.0,17.0,13.0,2,"1,044",40.15,7.0,89.0,25%,5.0,143.0,3,0,19,6,1.0,4.0,1.0,2.0,0.23,0.0,45.0,14.0,31%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2019/20,Hamstring injury,22-Sep-19,5-Oct-19
Jonjo Shelvey,Midfielder,26,0.0,29.0,66%,0.0,15.0,23.0,35.0,20.0,0.0,139.0,67.0,78.0,15.0,17.0,13.0,2,"1,044",40.15,7.0,89.0,25%,5.0,143.0,3,0,19,6,1.0,4.0,1.0,2.0,0.23,0.0,45.0,14.0,31%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2019/20,Calf injury,9-Dec-19,20-Dec-19
Jonjo Shelvey,Midfielder,26,0.0,29.0,66%,0.0,15.0,23.0,35.0,20.0,0.0,139.0,67.0,78.0,15.0,17.0,13.0,2,"1,044",40.15,7.0,89.0,25%,5.0,143.0,3,0,19,6,1.0,4.0,1.0,2.0,0.23,0.0,45.0,14.0,31%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2019/20,Hamstring strain,18-Jan-20,28-Feb-20
Djibril Sidibé,Defender,25,4.0,83.0,53%,2.0,5.0,40.0,33.0,15.0,0.0,148.0,144.0,106.0,14.0,30.0,32.0,4,948,37.92,4.0,68.0,26%,5.0,54.0,3,0,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2019/20,unknown injury,15-Dec-19,18-Dec-19
Djibril Sidibé,Defender,25,4.0,83.0,53%,2.0,5.0,40.0,33.0,15.0,0.0,148.0,144.0,106.0,14.0,30.0,32.0,4,948,37.92,4.0,68.0,26%,5.0,54.0,3,0,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2019/20,foot injury,21-Jun-20,1-Jul-20
Gylfi Sigurdsson,Midfielder,35,0.0,50.0,52%,0.0,20.0,37.0,15.0,3.0,0.0,147.0,103.0,147.0,16.0,14.0,24.0,3,"1,019",29.11,5.0,131.0,28%,3.0,47.0,3,0,34,2,0.0,2.0,0.0,1.0,0.06,1.0,46.0,14.0,30%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2019/20,knock,8-Dec-19,20-Dec-19
Gylfi Sigurdsson,Midfielder,35,0.0,50.0,52%,0.0,20.0,37.0,15.0,3.0,0.0,147.0,103.0,147.0,16.0,14.0,24.0,3,"1,019",29.11,5.0,131.0,28%,3.0,47.0,3,0,34,2,0.0,2.0,0.0,1.0,0.06,1.0,46.0,14.0,30%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2019/20,groin injury,12-Jan-20,31-Jan-20
Moussa Sissoko,Midfielder,29,0.0,39.0,64%,0.0,3.0,27.0,35.0,15.0,0.0,204.0,121.0,144.0,40.0,26.0,26.0,1,"1,246",42.97,1.0,23.0,9%,3.0,36.0,8,0,44,2,0.0,2.0,0.0,1.0,0.07,0.0,15.0,4.0,27%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2019/20,Knee Surgery,"Jan 2,2020","Mar 20,2020"
Oliver Skipp,Midfielder,7,0.0,2.0,100%,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,7.0,0.0,0.0,2.0,0,38,5.43,0.0,0.0,0%,0.0,2.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2019/20,Hip injury,"Nov 9,2019","Dec 4,2019"
Jed Steer,Goalkeeper,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,2019/20,Calf injury,11-Nov-19,15-Jun-20
Matt Targett,Defender,28,4.0,52.0,56%,0.0,1.0,56.0,68.0,31.0,0.0,122.0,113.0,121.0,8.0,37.0,38.0,2,947,33.82,8.0,81.0,27%,3.0,49.0,4,0,27,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2019/20,Muscle strain,28-Jun-20,11-Jul-20
Matt Targett,Defender,28,4.0,52.0,56%,0.0,1.0,56.0,68.0,31.0,0.0,122.0,113.0,121.0,8.0,37.0,38.0,2,947,33.82,8.0,81.0,27%,3.0,49.0,4,0,27,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2019/20,Hamstring injury,31-Dec-19,17-Jan-20
Matt Targett,Defender,28,4.0,52.0,56%,0.0,1.0,56.0,68.0,31.0,0.0,122.0,113.0,121.0,8.0,37.0,38.0,2,947,33.82,8.0,81.0,27%,3.0,49.0,4,0,27,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2019/20,Hamstring injury,29-Aug-19,24-Sep-19
Neil Taylor,Defender,14,2.0,16.0,69%,1.0,1.0,20.0,27.0,8.0,0.0,56.0,33.0,34.0,2.0,9.0,15.0,0,419,29.93,1.0,9.0,11%,0.0,15.0,2,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2019/20,Hamstring injury,13-Jul-20,25-Jul-20
Kieran Tierney,Defender,15,1.0,20.0,80%,0.0,1.0,9.0,30.0,10.0,0.0,60.0,53.0,35.0,12.0,9.0,15.0,1,441,29.4,1.0,44.0,18%,0.0,18.0,2,0,8,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2019/20,Shoulder injury,9-Dec-19,14-Mar-20
Kieran Tierney,Defender,15,1.0,20.0,80%,0.0,1.0,9.0,30.0,10.0,0.0,60.0,53.0,35.0,12.0,9.0,15.0,1,441,29.4,1.0,44.0,18%,0.0,18.0,2,0,8,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2019/20,Groin injury,13-Sep-20,27-Sep-20
Kieran Tierney,Defender,15,1.0,20.0,80%,0.0,1.0,9.0,30.0,10.0,0.0,60.0,53.0,35.0,12.0,9.0,15.0,1,441,29.4,1.0,44.0,18%,0.0,18.0,2,0,8,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2019/20,Knee injury,19-Jan-21,16-Feb-21
Kieran Tierney,Defender,15,1.0,20.0,80%,0.0,1.0,9.0,30.0,10.0,0.0,60.0,53.0,35.0,12.0,9.0,15.0,1,441,29.4,1.0,44.0,18%,0.0,18.0,2,0,8,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2019/20,Knee injury,3-Apr-21,5-May-21
Lucas Torreira,Midfielder,29,0.0,31.0,52%,0.0,4.0,34.0,22.0,10.0,0.0,107.0,101.0,81.0,17.0,11.0,21.0,1,903,31.14,0.0,12.0,25%,2.0,34.0,7,0,24,1,0.0,1.0,0.0,0.0,0.03,0.0,21.0,6.0,29%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2019/20,Ankle injury,3-Mar-20,3-Jul-20
Cenk Tosun,Forward,10,0.0,4.0,0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,98,9.8,1.0,4.0,0,0.0,0.0,0,0,8,2,2.0,0.0,0.0,0.0,0.2,0.0,15.0,5.0,33%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2019/20,groin injury,18-Oct-19,27-Oct-19
Cenk Tosun,Forward,10,0.0,4.0,0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,98,9.8,1.0,4.0,0,0.0,0.0,0,0,8,2,2.0,0.0,0.0,0.0,0.2,0.0,15.0,5.0,33%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2019/20,cruciate ligament surgery,2-Mar-20,26-Oct-20
Axel Tuanzebe,Defender,5,0.0,2.0,100%,0.0,0.0,5.0,4.0,3.0,0.0,15.0,8.0,20.0,0.0,3.0,12.0,0,136,27.2,0.0,1.0,0%,0.0,4.0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2019/20,Hip injury,19-Oct-19,23-Nov-19
Axel Tuanzebe,Defender,5,0.0,2.0,100%,0.0,0.0,5.0,4.0,3.0,0.0,15.0,8.0,20.0,0.0,3.0,12.0,0,136,27.2,0.0,1.0,0%,0.0,4.0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2019/20,Hamstring strain,18-Dec-19,5-Mar-20
Matej Vydra,Forward,19,0.0,4.0,0,0.0,1.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,136,7.16,1.0,3.0,0,0.0,0.0,0,0,1,2,0.0,1.0,1.0,1.0,0.11,0.0,18.0,10.0,56%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2019/20,hip injury,3-Nov-19,3-Dec-19
Theo Walcott,Forward,25,0.0,13.0,0,0.0,12.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,354,14.16,7.0,42.0,0,0.0,0.0,1,0,9,2,1.0,1.0,0.0,1.0,0.08,0.0,31.0,10.0,32%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2019/20,head injury,9-Sep-19,18-Oct-19
Theo Walcott,Forward,25,0.0,13.0,0,0.0,12.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,354,14.16,7.0,42.0,0,0.0,0.0,1,0,9,2,1.0,1.0,0.0,1.0,0.08,0.0,31.0,10.0,32%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2019/20,knock,24-Nov-19,4-Dec-19
