Name,Position,Appearances,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
Naby Keïta,Midfielder,23,,,46,50%,,11,14,3,3,,68,76,70,15,6,15,,0,1,743,32.30,2,8,13%,6,14,3,0,21,0,3,0,1,2,1,0.13,0,0,26,7,27%,1,,,,,,,,
Caoimhín Kelleher,Goalkeeper,2,1,2,,,,,,,,,,,,,,,0,0,0,78,39.00,,,,,4,0,0,0,,0,,,,,,,,,,,,6,0,0,0,1,4,13,13
Martin Kelly,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Kenedy,Midfielder,1,,,5,40%,,1,0,0,0,,8,6,5,1,0,1,,0,1,46,46.00,1,1,0%,0,2,0,0,0,0,0,0,0,0,0,0.00,0,0,1,0,0%,0,,,,,,,,
Nohan Kenneh,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,1,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Jonjoe Kenny,Defender,15,1,24,17,41%,0,2,20,26,11,0,58,36,35,4,9,11,0,0,1,361,24.07,0,23,43%,1,18,1,1,9,1,0,0,0,0,1,,,,,,,,,,,,,,,
Kepa,Goalkeeper,4,2,2,,,,,,,,,,,,,,,0,0,0,109,27.25,,,,,14,0,0,0,,0,,,,,,,,,,,,11,0,2,2,2,4,29,21
Kaine Kesler-Hayden,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Reda Khadra,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Kiko Casilla,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Maximilian Kilman,Defender,30,10,25,50,52%,0,3,45,106,64,0,155,144,76,17,66,39,0,1,0,"1,523",50.77,0,2,0%,0,83,3,0,17,0,1,1,0,0,2,,,,,,,,,,,,,,,
Joshua King,Forward,32,,,19,,,11,8,29,25,,,,,,,,,,3,499,15.59,6,13,,,,5,0,43,8,5,0,2,3,2,0.16,1,0,50,17,34%,10,,,,,,,,
Nya Kirby,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Alex Kirk,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Kristoffer Klaesson,Goalkeeper,1,0,0,,,,,,,,,,,,,,,0,0,0,9,9.00,,,,,1,0,0,0,,0,,,,,,,,,,,,4,0,1,0,1,0,2,3
Mateusz Klich,Midfielder,33,,,47,53%,,15,11,18,3,,171,89,131,20,7,13,,0,2,977,29.61,2,30,20%,6,26,5,0,40,2,1,0,1,0,0,0.03,0,0,42,18,43%,1,,,,,,,,
Timm Klose,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Josh Knight,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Robin Koch,Defender,20,1,40,21,62%,1,4,20,43,15,1,104,81,100,5,45,45,0,0,0,698,34.90,0,4,0%,0,32,3,0,22,0,0,0,0,0,1,,,,,,,,,,,,,,,
Sead Kolasinac,Defender,2,0,5,0,0%,0,0,4,1,1,0,2,0,2,0,0,0,0,0,0,14,7.00,0,0,0%,0,0,1,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,
Ibrahima Konaté,Defender,11,4,10,16,63%,0,0,16,37,19,0,64,55,34,2,34,19,0,1,0,750,68.18,0,0,0%,2,23,2,0,10,0,0,0,0,0,0,,,,,,,,,,,,,,,
Ezri Konsa,Defender,29,8,41,25,60%,0,2,15,82,36,0,105,125,71,6,58,42,0,0,0,"1,005",34.66,0,1,0%,0,33,4,2,18,1,2,1,1,0,0,,,,,,,,,,,,,,,
Billy Koumetio,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Cheikhou Kouyaté,Midfielder,27,,,52,73%,,1,38,33,22,,136,136,92,13,51,29,,0,1,799,29.59,1,4,25%,0,30,3,0,29,0,0,0,0,0,0,0.00,0,0,7,0,0%,0,,,,,,,,
Mateo Kovacic,Midfielder,25,,,51,61%,,5,7,9,1,,111,114,78,38,5,5,,0,5,"1,193",47.72,8,6,17%,12,55,4,0,24,0,2,0,2,0,0,0.08,0,0,22,6,27%,1,,,,,,,,
Matej Kovár,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Kacper Kozlowski,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Emil Krafth,Defender,20,5,20,37,43%,1,1,25,49,20,0,94,72,65,2,22,29,0,0,1,591,29.55,1,21,14%,0,12,5,0,22,0,0,0,0,0,0,,,,,,,,,,,,,,,
Alex Král,Midfielder,1,,,0,0%,,0,0,0,0,,1,1,1,0,1,1,,0,0,2,2.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Tim Krul,Goalkeeper,29,5,62,,,,,,,,,,,,,,,1,4,0,903,31.14,,,,,193,1,0,0,,0,,,,,,,,,,,,106,0,17,12,5,7,168,224
Juraj Kucka,Midfielder,26,,,59,66%,,11,27,44,24,,158,181,172,17,57,48,,0,1,678,26.08,2,16,31%,1,26,3,1,46,2,1,1,0,0,1,0.04,0,0,46,11,24%,2,,,,,,,,
Dejan Kulusevski,Midfielder,18,,,19,68%,,11,13,2,2,,75,62,82,25,3,8,,0,8,456,25.33,6,25,28%,7,5,3,0,20,4,5,0,0,5,0,0.28,0,0,26,10,38%,2,,,,,,,,
Alexandre Lacazette,Forward,30,,,27,,,11,5,5,5,,,,,,,,,,7,444,14.80,4,7,,,,0,0,32,6,4,0,4,0,0,0.13,2,0,46,15,33%,6,,,,,,,,
Ethan Laird,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Adam Lallana,Midfielder,24,,,34,50%,,5,16,13,5,,126,80,72,14,15,8,,0,1,957,39.88,1,3,33%,1,20,4,0,11,0,0,0,0,0,0,0.00,0,0,19,4,21%,0,,,,,,,,
Érik Lamela,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Tariq Lamptey,Defender,30,3,21,36,69%,0,4,21,20,10,0,100,122,114,29,7,27,0,0,2,614,20.47,5,93,20%,2,6,4,0,27,3,0,0,0,0,0,,,,,,,,,,,,,,,
Daniel Langley,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Henri Lansbury,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Manuel Lanzini,Midfielder,30,,,28,54%,,3,19,10,3,,124,76,78,25,5,17,,0,3,"1,202",40.07,3,28,25%,2,32,2,0,11,1,5,0,4,1,0,0.17,3,0,16,7,44%,1,,,,,,,,
Aymeric Laporte,Defender,33,15,23,33,45%,3,5,20,61,35,0,182,101,60,6,52,32,0,1,0,"2,920",88.48,0,5,40%,4,142,5,1,14,2,4,2,1,1,1,,,,,,,,,,,,,,,
Jamaal Lascelles,Defender,26,2,44,15,47%,0,4,22,121,69,2,86,109,57,1,89,31,2,0,0,690,26.54,0,0,0%,0,35,5,0,17,0,1,1,0,0,1,,,,,,,,,,,,,,,
Roméo Lavia,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Marcel Lavinier,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Achraf Lazaar,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Zan-Luk Leban,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Pierre Lees-Melou,Midfielder,33,,,58,62%,,11,25,20,11,,181,114,145,19,14,15,,0,0,990,30.00,2,33,33%,7,86,5,0,35,2,1,0,1,0,0,0.03,0,0,33,9,27%,1,,,,,,,,
Florian Lejeune,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Dexter Lembikisa,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Aaron Lennon,Midfielder,28,,,33,52%,,4,9,8,0,,73,73,94,13,7,21,,0,0,336,12.00,0,40,8%,0,7,2,0,19,4,2,0,2,0,0,0.07,0,0,12,4,33%,0,,,,,,,,
Bernd Leno,Goalkeeper,4,1,9,,,,,,,,,,,,,,,0,0,0,101,25.25,,,,,22,0,0,0,,0,,,,,,,,,,,,10,0,4,5,0,0,13,37
Léo Bonatini,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Marc Leonard,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Thakgalo Leshabela,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Dylan Levitt,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Jamal Lewis,Defender,5,1,4,8,75%,0,0,3,8,0,0,13,11,17,0,1,4,0,0,0,79,15.80,0,3,0%,0,4,1,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,
Victor Lindelöf,Defender,28,5,47,16,69%,0,1,25,94,46,0,161,77,57,3,52,33,0,0,2,"1,377",49.18,2,0,0%,4,65,4,0,19,2,0,0,0,0,0,,,,,,,,,,,,,,,
Hayden Lindley,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Jesse Lingard,Midfielder,16,,,9,78%,,1,0,1,0,,19,15,19,2,0,1,,0,0,145,9.06,0,8,0%,2,0,1,0,5,1,2,0,2,0,0,0.13,0,0,8,6,75%,0,,,,,,,,
Tino Livramento,Defender,28,6,42,54,52%,0,3,47,47,23,0,176,144,99,30,24,25,0,0,1,906,32.36,4,62,19%,2,27,2,0,12,1,1,1,0,0,2,,,,,,,,,,,,,,,
Diego Llorente,Defender,28,5,44,53,58%,0,1,40,75,37,1,171,131,109,8,50,64,0,0,0,"1,357",48.46,0,2,0%,1,86,7,0,23,0,3,0,1,2,1,,,,,,,,,,,,,,,
Hugo Lloris,Goalkeeper,38,16,40,,,,,,,,,,,,,,,0,1,0,793,20.87,,,,,157,2,0,0,,0,,,,,,,,,,,,98,0,10,28,1,22,161,278
Giovani Lo Celso,Midfielder,9,,,8,50%,,1,1,0,0,,11,23,20,9,0,3,,0,0,150,16.67,2,10,20%,0,6,0,0,2,1,0,0,0,0,1,0.00,0,0,9,1,11%,1,,,,,,,,
Jürgen Locadia,Forward,1,,,0,,,0,0,0,0,,,,,,,,,,0,1,1.00,0,0,,,,0,0,1,0,0,0,0,0,0,0.00,0,0,1,0,0%,0,,,,,,,,
Ruben Loftus-Cheek,Midfielder,24,,,29,34%,,6,11,17,12,,109,148,96,42,37,18,,0,2,959,39.96,4,7,29%,5,14,1,0,18,2,0,0,0,0,0,0.00,0,0,19,6,32%,0,,,,,,,,
Andy Lonergan,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Kevin Long,Defender,6,0,7,3,67%,0,0,1,19,6,0,11,18,12,0,13,7,0,0,0,102,17.00,0,0,0%,0,8,1,0,4,1,0,0,0,0,0,,,,,,,,,,,,,,,
Emmanuel Longelo,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Sean Longstaff,Midfielder,24,,,54,63%,,4,9,18,6,,95,90,96,6,13,18,,0,1,590,24.58,0,11,18%,1,42,1,0,14,0,1,0,1,0,0,0.04,0,0,15,2,13%,1,,,,,,,,
Nigel Lonwijk,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Ademola Lookman,Forward,26,,,32,,,10,10,2,2,,,,,,,,,,0,507,19.50,1,18,,,,2,0,27,6,6,0,3,3,0,0.23,0,0,26,12,46%,3,,,,,,,,
Joel López,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Jonas Lössl,Goalkeeper,2,0,5,,,,,,,,,,,,,,,0,0,0,55,27.50,,,,,12,0,0,0,,0,,,,,,,,,,,,2,0,0,0,0,2,6,13
Louis Thompson,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Imrân Louza,Midfielder,20,,,41,51%,,6,42,20,10,,129,80,83,14,12,19,,0,0,650,32.50,0,54,19%,2,46,6,0,24,0,0,0,0,0,0,0.00,0,0,17,4,24%,1,,,,,,,,
Matthew Lowton,Defender,25,3,30,38,63%,0,4,26,62,31,1,118,79,63,10,25,17,0,0,2,648,25.92,4,51,18%,4,62,3,1,13,0,1,1,0,0,0,,,,,,,,,,,,,,,
Lucas Moura,Forward,34,,,25,,,9,18,18,11,,,,,,,,,,6,725,21.32,11,33,,,,4,0,20,3,2,1,1,0,3,0.06,0,0,37,12,32%,1,,,,,,,,
Romelu Lukaku,Forward,26,,,2,,,15,0,20,19,,,,,,,,,,0,317,12.19,4,7,,,,1,0,8,14,8,2,3,3,2,0.31,1,0,43,15,35%,3,,,,,,,,
Lyanco,Defender,15,1,20,18,83%,0,3,13,48,18,0,73,48,37,4,19,14,0,1,0,389,25.93,0,4,0%,0,21,2,0,13,0,0,0,0,0,0,,,,,,,,,,,,,,,
Brooklyn Lyons-Foster,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Ian Maatsen,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Isaac Mabaya,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Alexis Mac Allister,Midfielder,33,,,65,62%,,28,13,16,7,,149,149,135,21,25,23,,0,2,995,30.15,2,66,23%,4,48,4,0,30,4,5,0,5,0,3,0.15,2,0,60,11,18%,4,,,,,,,,
James Maddison,Midfielder,35,,,40,50%,,18,11,7,1,,107,140,114,31,5,12,,0,8,955,27.29,11,124,17%,14,53,3,0,22,4,12,0,7,5,3,0.34,0,1,72,34,47%,2,,,,,,,,
Paris Maghoma,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Harry Maguire,Defender,30,6,41,34,62%,2,4,32,100,57,0,148,132,67,4,75,28,1,1,0,"1,563",52.10,0,2,0%,0,120,7,1,21,1,1,1,0,0,2,,,,,,,,,,,,,,,
Riyad Mahrez,Forward,28,,,11,,,17,6,4,1,,,,,,,,,,5,826,29.50,5,97,,,,0,0,10,3,11,0,0,11,3,0.39,4,0,61,23,38%,4,,,,,,,,
Ainsley Maitland-Niles,Midfielder,8,,,8,50%,,1,4,3,2,,23,18,18,4,3,3,,0,0,135,16.88,0,2,50%,1,4,0,0,4,0,0,0,0,0,0,0.00,0,0,2,0,0%,0,,,,,,,,
Anthony Mancini,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Sadio Mané,Forward,34,,,33,,,32,8,11,9,,,,,,,,,,2,"1,036",30.47,9,50,,,,5,0,50,19,16,3,9,4,0,0.47,0,0,98,39,40%,13,,,,,,,,
Javier Manquillo,Defender,19,1,27,39,74%,0,1,10,26,9,0,57,82,48,10,16,13,0,0,2,315,16.58,1,9,22%,0,7,5,0,9,1,1,0,1,0,0,,,,,,,,,,,,,,,
